sales,quantity,discount,profit,shipping_cost,year,shipping_days,profit_margin,sales_per_shipping_day,profit_per_sales,category_Furniture,category_Office Supplies,category_Technology,segment_Consumer,segment_Corporate,segment_Home Office,region_Africa,region_Canada,region_Caribbean,region_Central,region_Central Asia,region_EMEA,region_East,region_North,region_North Asia,region_Oceania,region_South,region_Southeast Asia,region_West
0.33123057603596356,-0.6479867704102042,-0.6732058097613866,0.44430612849321716,0.1585357102030388,-1.6172127516071388,0.59593416845385,0.4561223550330195,0.030540705879389857,0.4736249518332169,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2594587333079569,-0.20914777726891892,-0.20208571174907483,0.042389107474895694,-0.290704934765742,-1.6172127516071388,1.7523801603505402,0.5421312458112956,-0.3004090785712122,0.560493081351176,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.3702129788099419,0.22969121587236643,-0.6732058097613866,0.005719855129335035,-0.31775711035632526,-1.6172127516071388,0.017711172505505024,0.8608461561974756,-0.31164888257142137,0.888330188699021,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.4132840742829361,-0.20914777726891892,1.6823946803001721,-0.3135881513412717,-0.3762247156650049,-1.6172127516071388,0.017711172505505024,-1.3413576206445301,-0.3378750919052426,-1.399300128196641,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.2717647605859552,0.6685302090136518,-0.20208571174907483,0.052330396337810364,-0.37831907764621137,-1.6172127516071388,1.7523801603505402,0.6085680639143571,-0.305092330237966,0.6299214988537997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.39277402881960555,-0.6479867704102042,-0.20208571174907483,-0.07625277933545956,-0.42893282552536693,-1.6172127516071388,1.7523801603505402,0.49638912297283166,-0.35114430496104504,0.5064002619328088,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.1384361486806562,-1.0868257635514897,-0.6732058097613866,-0.14632338630347744,-0.0397305573511706,-1.6172127516071388,0.017711172505505024,-0.07983712149889381,-0.0019298390101031924,-0.09240020550092092,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060497975920000044,-1.0868257635514897,-0.20208571174907483,0.4687981619547924,1.7268637737964594,-1.6172127516071388,-2.2951808112878753,0.7557849826541554,1.3293625014591113,0.7890315813778487,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.3649368673878244,0.22969121587236643,1.2112745822878603,-1.9957471040396153,1.408869812983282,-1.6172127516071388,1.174157164402195,-0.8514523210231931,0.41947360620408664,-0.9083326610503658,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.8624407535362254,0.22969121587236643,-0.6732058097613866,1.2881117195219254,0.9578838663634959,-1.6172127516071388,0.017711172505505024,0.7124016059410246,0.4389202512203215,0.7450892600392441,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18766025779264958,-0.20914777726891892,1.4468346312940163,-0.8682449919912776,0.12869105197084707,-1.6172127516071388,0.017711172505505024,-0.879353607238461,0.028042971657121128,-0.9363101990962248,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.07281731959164867,-1.0868257635514897,1.9179547293063282,-0.5678219944678687,-0.08824994324911976,-1.6172127516071388,0.017711172505505024,-0.8158034348128185,-0.13056315145694095,-0.8678939597688315,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
